ums,nach,pers,umse,nache,perse,pdwichtig,umheute,aspekte,aufwand,behoerde,beh_grund,unsicher,datengm,ds_unter,ds_forsch,kund_dat,a_positiv,a_rsicher,a_gefahr,a_aufwand,a_kompliz,a_vorteil,a_vertrau,a_inno,a_kost,a_berat,a_proz,a_stand,a_ki,a_forsch,a_nachteil,erf_speich,si_speich,erf_intern,si_intern,erf_extunt,si_extunt,erf_forsch,si_forsch,br_zahl,br08,bges,gk9,gk4,aweight,online,vg,br04,br07
gleich,gleich,gleich,gleich,gleich,gleich,2,4,2,3,3,,1,4,3,3,4,1,2,1,5,4,1,1,2,5,3,2,2,1,1,1,,,,,,,,,,IKT-Dienstleister,6,5-9,5-19,315.4047619047619,1,Infowi,IKT-Branche,IKT-Branche
runter,hoch,hoch,hoch,,,5,2,3,4,3,,2,5,3,3,5,1,1,1,5,5,3,1,5,5,5,1,1,5,3,3,,,,,,,,,,ReSteuWip,9,5-9,5-19,604.1142857142858,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,5,4,3,3,3,,3,5,3,3,,3,3,3,4,4,3,3,2,4,4,4,3,3,3,3,,,,,,,,,,ReSteuWip,43,20-49,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,gleich,gleich,hoch,gleich,gleich,3,,3,3,3,,2,3,3,3,3,2,2,3,3,3,2,2,3,4,4,2,2,4,4,2,,,,,,,,,,techDL,140,100-249,>=100,27.52,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,4,4,3,2,3,,2,3,3,3,3,1,2,2,5,5,2,2,4,5,4,3,3,2,1,3,,,,,,,,,,ReSteuWip,120,100-249,>=100,22.07692307692308,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,runter,runter,runter,3,4,2,2,,,2,3,1,1,4,3,3,3,4,4,3,4,3,5,5,4,3,3,2,3,1,5,1,3,1,4,1,5,5,UBeratung,395,250-499,>=100,11.625,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,gleich,gleich,hoch,5,5,2,3,3,,1,4,3,3,5,4,5,1,4,3,2,4,2,5,2,5,5,3,1,1,1,5,2,2,1,5,1,5,1,IKT-Dienstleister,46,20-49,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,gleich,gleich,gleich,gleich,5,4,2,3,3,,2,5,1,3,5,1,3,3,5,5,5,3,4,5,3,3,3,4,1,5,1,5,2,4,1,5,1,5,2,ReSteuWip,23,20-49,20-99,86.62222222222222,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,runter,runter,gleich,4,4,3,3,3,,1,5,3,3,2,1,1,2,5,5,1,1,3,5,5,2,3,4,1,4,,,,,,,,,,techDL,50,50-99,20-99,83.43636363636364,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,gleich,hoch,gleich,hoch,5,4,1,3,2,,2,5,1,3,4,1,2,2,4,4,,3,2,4,3,5,5,2,,,1,3,2,4,1,4,1,3,2,techDL,82,50-99,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,gleich,hoch,hoch,hoch,4,4,2,,3,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,techDL,8,5-9,5-19,289.140350877193,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
